Id,SalePrice
2658,148528.94297592907
2718,146319.61298910587
2414,189699.37503925298
1989,133033.63110946992
625,181637.74650875168
333,124833.30005707864
1327,130216.65257353941
858,162139.0133666003
95,219511.26077970667
1568,189509.76720556014
2482,199520.9809019834
1364,146122.7288649057
2584,153713.70238847696
818,270059.64677531086
2673,184455.03966532077
2089,140339.87429609377
1297,171112.1746294824
790,121443.32478719795
2616,172169.7372445531
720,204549.04274336883
222,172705.53108746037
557,133004.77277500497
1148,234529.72329975985
2766,173005.8232752399
534,194149.16060480863
1452,140372.45736254656
630,147192.0159063371
2648,115390.78799347089
125,154458.19411852778
1904,78163.12190053391
1670,123151.44267985612
756,102023.28677336115
717,270505.79716248397
1032,163935.4516386765
852,215959.81519170772
1731,167049.3343765214
2639,123420.54015008343
2071,97284.43125612507
1267,124017.6107594326
1851,192310.7351958334
567,182705.58623136143
2439,217063.3357009719
1898,151920.68643637013
647,174922.9998512841
2256,239842.69713763168
979,103735.5456207649
1444,212628.972990571
2485,121872.97162548249
157,140303.043674302
88,132760.89695176028
2003,118217.1410370243
186,202801.16386046738
1425,266439.62633335165
2695,133396.67545046433
738,109886.0170510725
395,162153.08920117439
1353,158240.23688322064
1878,138641.73616711382
390,156368.0724136864
1456,233729.205789844
1103,287452.2924733918
1387,124909.58687132821
2070,164091.9593299054
1199,179718.12131293555
2479,177040.37270855845
501,324545.27327473066
2362,110332.63173964489
1718,196708.54676710133
2188,99616.80408443724
1483,152881.9210662696
2557,103646.97255658674
437,344664.3620419494
2224,188023.4969939794
1628,168578.08601991885
397,145986.72934912518
587,194232.6923902524
971,118223.85017531307
2611,148033.87765739358
1887,111196.5981735421
2399,368530.7834027586
2148,208313.16230772255
304,112637.5066625622
1997,129952.92133715338
2817,128706.91945625586
1431,184322.83946975516
427,332160.12897246255
263,128917.72293239864
598,164694.5557956087
2895,230115.25897071508
687,146401.80750792456
1822,141986.79418264463
2191,117697.36999061306
179,142346.91899693536
1009,209148.82279632465
2010,136139.7425545229
1991,135038.42007345782
1411,158193.7648085754
1721,261291.3035116415
1144,189767.7625830778
593,206182.78572249788
575,274941.2714144285
1249,153567.97553207452
1604,129482.07769689316
1064,430503.63612190296
1923,175664.90228866535
1988,104416.36932506718
2325,162732.49997186678
114,190890.0021449489
2700,125060.34980190403
217,99661.62880844498
343,168789.13266604606
386,227912.05496096605
2005,137133.44543049776
2908,146460.1820123783
