Id,SalePrice
2658,150413.75050145714
2718,132163.0049537752
2414,189842.1073289218
1989,119765.48204415053
625,179444.3734267392
333,114280.08750148788
1327,126307.94557482985
858,171743.75233186086
95,197947.5068044529
1568,177545.33807369685
2482,163976.58781548878
1364,129115.31373170437
2584,145834.18499648687
818,270697.03074447386
2673,169156.9873030681
2089,136786.01842359803
1297,145762.12608399277
790,101485.45925263979
2616,188647.2517017642
720,186264.97131039307
222,177379.35228979617
557,129366.39373204144
1148,215885.9930269455
2766,170517.03316048652
534,190544.54925121815
1452,134437.54114237573
630,136863.32176743814
2648,126113.26608805898
125,151537.58068516784
1904,77428.16674322303
1670,120136.42423948446
756,99274.50090357364
717,232354.73666938895
1032,159211.34507348607
852,225262.12690964184
1731,177171.3744025537
2639,125309.58773889417
2071,105075.76569576084
1267,113800.8238852778
1851,195124.78707185958
567,160894.00354448138
2439,212545.52394090395
1898,162343.37403141492
647,168310.24244927338
2256,256159.53715535084
979,125066.18259073325
1444,233934.27212512132
2485,126043.85440308828
157,134129.0523455782
88,132436.00081351696
2003,112550.73967032314
186,198206.49777394545
1425,256308.48985816355
2695,132526.83724707662
738,102426.49894697424
395,157001.9912369161
1353,172858.8600597342
1878,149108.12374598518
390,161644.05085804407
1456,236044.98957942042
1103,358069.4572931377
1387,124285.42041200153
2070,177504.97690798657
1199,174290.50021146642
2479,180920.10466303476
501,325952.67169635853
2362,107518.5741459328
1718,209838.24270032396
2188,91945.30101955555
1483,160722.38251341996
2557,87750.82744662324
437,344626.4267115288
2224,203283.32558973235
1628,164507.21815624158
397,140418.9178599408
587,199374.6468758519
971,107734.30241561265
2611,138475.27133944392
1887,112402.25471821276
2399,374713.21608071215
2148,207010.04613617194
304,115363.18666744504
1997,128354.71505199323
2817,100195.69056371138
1431,188343.494088239
427,395500.6267879186
263,134000.837529913
598,173642.3977846556
2895,213732.3887506004
687,149965.10032144128
1822,144983.63440252055
2191,91692.50870894382
179,130399.6282105245
1009,206335.7483457403
2010,130679.07670901065
1991,138426.052433416
1411,98767.33446585103
1721,235567.49321122552
1144,207193.0811677835
593,222481.97437557936
575,280517.6138828451
1249,183355.25939370808
1604,137107.78602985316
1064,495014.2039713316
1923,158187.2895476942
1988,105470.85713648594
2325,164733.70632318055
114,208615.65256804723
2700,155057.69074633927
217,131042.37342171744
343,183740.06939397438
386,223714.34562985375
2005,119637.24451934607
2908,138174.89085373323
1814,226966.5579960255
2446,557553.0654314044
208,165126.16473068373
1679,113799.7503033781
822,341345.8992510924
6,196924.98026116582
1781,444657.33827976463
2397,273563.69615054014
2340,296429.31764699414
1618,176597.24873019624
2843,129860.33944507632
1061,383852.2511634332
2786,126636.38410858931
1935,141521.6687620472
1341,113783.40442847965
521,277677.77339058835
2136,141154.4129560648
996,184295.8036890563
227,159623.03963968318
135,171090.08121749206
1167,177371.43260393885
294,248440.03058281558
1776,199550.88741445617
540,175761.78497619502
1717,209838.24254532444
2303,137406.80045115616
116,197321.3403543859
127,147594.65142539673
1371,136778.07750499996
1014,114944.59390921275
1507,101281.73983444792
702,136902.3327068417
750,147896.44945356238
261,170114.16408928466
1559,84193.53555877818
577,205428.78454105888
2812,205137.76018821762
2080,117859.29026456142
1368,115020.37802990476
2376,122144.2516049251
659,114243.0377533732
1235,148088.12390054335
332,92074.11754771571
1917,144498.20499190164
2094,271769.59280061466
1460,252018.8633542287
1471,213516.9675277897
1509,114574.103973591
1922,134971.81801519793
433,529688.9824293978
460,242405.263531601
1116,229353.6195804441
1137,175977.85084415608
53,177125.43366757207
2354,269909.5981320923
1475,200170.3029350915
1761,640255.9271749418
842,148892.5383799624
2739,101095.58640493646
2509,156753.99559715256
1007,200216.3145174905
2610,187423.42575722886
1952,101755.86573971585
2719,126825.3340164879
2921,111511.90807828045
1966,143226.07635965393
292,123218.60782177572
1204,184144.8774692963
1829,267090.5289643244
2419,192987.9558877027
391,156294.23278381792
798,79847.93516945699
481,196352.97747623315
193,213915.56996315107
555,132426.759856386
899,46986.43305599163
2357,185322.66905347482
328,143555.1789419446
1356,121765.31724022172
1154,119399.16541165602
1730,178869.56575400234
2249,163075.6550659743
1119,278137.7680567314
2856,152536.91531494557
1394,145935.25271428208
2587,122019.53026500765
61,300165.29984009586
2661,168090.15918424388
2711,135709.41224139827
1147,195028.149322883
757,138199.96872058333
2623,99263.44312732115
2378,154718.20496048257
1413,152420.135517955
1722,212313.5240252043
1112,220062.17315841813
1623,191154.51960224297
1201,211191.96942999115
1513,106426.91881656642
957,233717.2819078152
1171,275260.5168775484
1145,205471.79967557962
2726,262164.59591826634
703,167218.87187177705
760,75033.66355851539
1964,160212.85092422532
2512,188434.95292072225
159,167615.72455846838
1281,174564.165974553
468,188503.7565063406
290,135323.17138488952
665,111576.6741044542
1463,266063.47402583505
1792,226321.8996859267
923,129724.88953945924
500,276098.52600943035
1408,59593.164076525674
331,94176.62416121003
170,124352.05342437571
2192,107449.98854551082
2571,380420.13403663435
2314,162449.3026209229
2647,104702.07716390809
422,454989.8167045405
2457,348987.2335506465
1838,195654.52586877567
2805,257270.63741341422
1645,167841.15169624053
1711,303098.1890833443
2825,206161.12466834218
322,346465.1188143124
2103,260435.95353738288
342,125090.44316536184
600,121559.90201741466
488,190875.1081585127
1725,295975.24130894267
2246,246515.8396886364
2847,179183.44659886026
806,242655.16994749248
530,238881.48293265735
963,216625.36980551804
2678,88002.94043699652
171,97354.34351024087
2401,429874.33260511816
805,236339.596031177
2259,199859.10353588843
1748,178379.63417060685
1361,141194.35372883943
1677,122883.78949722386
1406,113367.45659665012
2322,258580.41976818128
688,160857.1720513433
143,141775.0282032049
804,212924.57705060698
1214,161824.07750318534
2828,126163.70824414834
1999,211584.68556232617
2467,195858.2800764421
2665,157062.42612818533
1538,343342.57625474804
398,123829.65743190778
2822,88959.54881267644
2157,148031.53242581763
1856,190152.17757241725
1269,99675.83381715913
2570,120594.63370959615
2320,237246.2383531682
1517,135640.28715089418
2304,125051.73270789698
1312,106629.99860032245
2012,121633.98182356214
506,219657.83038824587
2865,210637.4935816857
2367,105476.93455308084
554,94424.4197092239
238,82802.51940428227
1954,122932.5168849854
2488,144691.60670329444
2291,98257.36367335581
1969,104295.4945238938
2725,170076.23901171357
1482,160722.382238611
2763,193515.56027264148
503,258468.2661439532
1584,239929.74149738302
1531,103532.44588831224
2210,166977.67845549443
459,335209.61798197124
556,134468.63229142452
1347,121327.9889660843
1290,86983.63819461927
1388,111988.64514480557
1571,198397.47234316543
2754,204433.7424313269
765,136292.06985801342
2494,130462.0631732961
2870,212177.502892438
7,222397.20089875988
1114,245506.3666640973
2418,285507.2593010962
291,149212.13065277328
18,292296.7782617819
39,373264.5769583873
1001,263052.395724015
