Id,SalePrice
2658,159211.45260336754
2718,164213.23142530274
2414,203317.28474767928
1989,123367.31716207397
625,203031.95050706668
333,101055.32950784129
1327,127169.54368533543
858,158225.65324125756
95,174772.58340047527
1568,168111.68936225242
2482,163787.93051388717
1364,140293.1135719106
2584,157097.73334334957
818,288868.1356075493
2673,172336.52817369535
2089,151224.05633298054
1297,175856.1548407367
790,118864.99119013979
2616,193795.05958101107
720,182238.51824032216
222,151737.41765167296
557,131020.15377224263
1148,213563.52864826063
2766,157115.21685999498
534,185369.35964698874
1452,124655.85075070431
630,152410.85124928356
2648,116660.59880259319
125,151314.3662996996
1904,74051.71146628709
1670,116028.32864831874
756,98746.3553359323
717,206660.8909110488
1032,172988.8101069534
852,212086.9491237448
1731,182638.3776492965
2639,123853.80914695153
2071,87405.81287482678
1267,131639.40232519485
1851,194715.8586457751
567,177351.52109534905
2439,218292.54218253403
1898,154961.27920895565
647,176621.763155575
2256,227627.86230911064
979,118509.02011235885
1444,213218.363105283
2485,123647.14728588557
157,138070.70861903176
88,124622.78788630747
2003,117219.75038714694
186,182656.97344665465
1425,257513.6865761259
2695,141221.61736933602
738,102039.37671068878
395,162518.8513839275
1353,151862.04877132608
1878,143807.77263849424
390,155071.5346452901
1456,233288.7163442072
1103,286452.3958396462
1387,132024.13633045196
2070,154318.05826093158
1199,178014.46510287732
2479,183489.69207815715
501,310677.1530632803
2362,108846.80055438832
1718,197253.04748519076
2188,96600.89613814928
1483,150743.3114208818
2557,89527.39773797349
437,371381.4448228692
2224,181011.387387402
1628,168731.5403371866
397,135543.3809223023
587,200670.4095184299
971,150804.49074156
2611,145923.2855864169
1887,106139.36543609419
2399,336131.5276958101
2148,202525.60017323997
304,114981.39366893473
1997,148018.51963325328
2817,125126.26338817262
1431,196335.08209282527
427,365864.982563811
263,129893.77007224559
598,177776.06682300157
2895,223226.98122089982
687,145739.29380528248
1822,140250.92968443612
2191,104567.98079087518
179,136994.2652809086
1009,189729.60663955458
2010,137141.94960479607
1991,147351.11832697946
1411,158804.03480108132
1721,236954.71516650217
1144,198942.56402629454
593,211638.72618983607
575,285570.2697296268
1249,171499.98364982166
1604,128888.40083703378
1064,485131.57019029907
1923,162172.4813848861
1988,118786.08172017398
2325,170757.63240735032
114,181311.6372206505
2700,138949.69015594307
217,140418.17491135802
343,167657.8672944672
386,234239.79532311088
2005,143700.7212780599
2908,139764.25876798754
1814,215411.71581428827
2446,566463.2100693658
208,167063.9030466946
1679,127916.24265347824
822,329421.51437097916
6,194144.38334690814
1781,398086.422929538
2397,261123.49807560482
2340,299628.5580886892
1618,186768.87546102895
2843,108115.85272040611
1061,359888.64822615334
2786,124962.12239308268
1935,140241.80001278166
1341,129590.27229555268
521,260271.42890945383
2136,151788.2619065211
996,192285.6756915602
227,157432.0758195194
135,168886.89663190304
1167,167342.96692972307
294,246854.54038702627
1776,200836.56483866475
540,178676.81103581982
1717,160603.51068524484
2303,128654.2067196795
116,168644.63616030765
127,146876.41737175122
1371,140488.22675560828
1014,158951.98836336393
1507,115705.0036684834
702,135258.66634236078
750,160387.06475817386
261,155735.34864600762
1559,95531.75460714754
577,209883.58946508417
2812,207938.6387226188
2080,145263.13906784216
1368,126325.60378188017
2376,130202.48449878098
659,115656.59965539892
1235,123276.83136331016
332,79070.95976082658
1917,137945.3964902703
2094,288694.7366206305
1460,263460.5173351172
1471,201713.3545887829
1509,130735.31406957784
1922,138904.93206984852
433,431901.82006721373
460,253043.91090184433
1116,228494.95743115337
1137,168114.7393861431
53,171327.93483307594
2354,236652.24982969352
1475,196103.1609273796
1761,659044.6690005448
842,152225.23271010775
2739,197105.20396345915
2509,149845.6602471564
1007,211276.25079850957
2610,179793.9778404641
1952,92788.90410252307
2719,151990.5880488794
2921,104380.8292282164
1966,130992.63685119372
292,127563.42535540457
1204,191079.621930642
1829,258493.85138808927
2419,197071.83644048867
391,156242.43912803713
798,108862.66413160636
481,192478.9206370873
193,195823.36665565838
555,130127.68314355961
899,78728.43905904597
2357,189196.0598495028
328,131065.48131507443
1356,120774.52042768677
1154,120261.91654666435
1730,161856.71924506724
2249,157058.55930657362
1119,258616.39706359908
2856,136564.05066885956
1394,137904.86146716264
2587,118389.06824875044
61,359707.28451640764
2661,200229.90379907363
2711,139558.59565703315
1147,201820.00158294418
757,142555.79407863994
2623,98667.688109445
2378,156076.7076866368
1413,144030.52434486014
1722,212199.1199573035
1112,222891.7925424673
1623,196631.56553312094
1201,194617.13977211923
1513,118462.20979325466
957,207429.3030796772
1171,256109.9034735967
1145,209737.0606677553
2726,240628.96310597134
703,174816.92064630045
760,98962.12638611362
1964,142224.6147757643
2512,164937.53435883156
159,132510.1635124181
1281,163748.74447028313
468,185548.50534584068
290,119407.23114352835
665,90403.94307454073
1463,258544.0760661364
1792,244498.4493780423
923,140076.34283816503
500,269405.3517956248
1408,161593.48317648505
331,85733.80839931694
170,116980.39497483065
2192,107040.36147884213
2571,277253.8999243181
2314,170910.71661568538
2647,110529.53742712337
422,427293.44619350065
2457,359290.4733532835
1838,225303.6978996285
2805,250082.10525600667
1645,162798.37066418267
1711,288819.12383713864
2825,277433.78752201644
322,354959.64690742746
2103,265189.2272434103
342,114948.38109182008
600,128970.23156627084
488,203771.96987167167
1725,373392.2667997136
2246,264466.5715193385
2847,175832.5296246589
806,249262.12948085053
530,236973.7828898732
963,172599.86076532677
2678,97484.84267367508
171,95136.07332985819
2401,391905.82660355174
805,244980.8234725759
2259,220255.8243278956
1748,166601.6765872097
1361,146536.97886880132
1677,132916.97376252676
1406,155754.32560671205
2322,243642.82141039154
688,154928.082517397
143,135613.4815969488
804,209288.00278192366
